destCountry;website;PacketLoss;minASPath;maxASPath;minCountryPath;maxCountryPath
Cameroon;www.univ-ndere.cm;0.0;[15964];[328913, 328840, 15964];['Cameroon'];['Cameroon']
Cameroon;uy1.uninet.cm;5.71;[15964];[328913, 328840, 15964];['Cameroon'];['Cameroon']
Cameroon;www.univ-maroua.cm;100.0;[15964, 6453, 16637, 30992];[328913, 15964, 174, 16637, 30992];['Cameroon', 'Canada', 'South Africa', 'Cameroon'];['Cameroon', 'United Kingdom', 'Nigeria', 'Spain', 'United Kingdom', 'South Africa', 'Cameroon']
Namibia;www.nust.na;0.0;[15964, 52320, 16637, 37513];[15964, 6453, 2914, 33763, 37513];['Cameroon', 'Canada', 'United States', 'United Kingdom', 'Namibia'];['Cameroon', 'Brazil', 'Colombia', 'Netherlands', 'South Africa', 'Namibia', 'South Africa', 'Namibia']
Namibia;unam.edu.na;100.0;[15964];[328913, 60171, 6939, 36996];['Cameroon'];['Cameroon', 'United Kingdom', 'Nigeria', 'Spain', 'United States', 'South Africa', 'Namibia']
Namibia;ium.edu.na;2.86;[328913, 60171, 36996];[328913, 60171, 6939, 36996];['Cameroon', 'Canada', 'South Africa', 'Namibia'];['Cameroon', 'United Kingdom', 'Nigeria', 'Spain', 'United States', 'South Africa', 'Namibia']
Senegal;www.ucad.sn;0.0;[15964];[15964, 52320, 1299, 6939, 37613, 6758, 37649];['Cameroon'];['Cameroon', 'Brazil', 'Colombia', 'Sweden', 'United States', 'Ghana', 'Monaco', 'Senegal']
Senegal;ugb.sn;4.76;[328913, 60171, 6939, 8346];[15964, 52320, 1299, 12956, 8346];['Cameroon', 'Italy', 'France', 'Senegal'];['Cameroon', 'Brazil', 'Colombia', 'Spain', 'United States', 'Spain', 'Senegal']
Senegal;uadb.edu.sn;80.95;[15964, 6453, 8346];[328913, 60171, 174, 8346];['Cameroon', 'Canada', 'Senegal'];['Cameroon', 'Brazil', 'Colombia', 'United States', 'Spain', 'Senegal']
South Africa;www.sun.ac.za;100.0;[15964, 52320, 2018];[328913, 60171, 6939, 3491, 2018];['Cameroon', 'Brazil', 'Colombia', 'South Africa'];['Cameroon', 'Canada', 'United Kingdom', 'Canada', 'United States', 'United Kingdom', 'South Africa']
South Africa;wits.ac.za;100.0;[15964, 52320, 2018];[328913, 60171, 6939, 3491, 2018];['Cameroon', 'Brazil', 'Colombia', 'South Africa'];['Cameroon', 'Canada', 'United Kingdom', 'Canada', 'United States', 'United Kingdom', 'South Africa']
South Africa;uct.ac.za;100.0;[15964];[328913, 60171, 3491, 2018];['Cameroon'];['Cameroon', 'Canada', 'United Kingdom', 'Canada', 'United States', 'United Kingdom', 'South Africa']
Morocco;uca.ma;100.0;[15964, 6453];[328913, 60171, 6939, 6762, 36884];['Cameroon', 'Canada'];['Cameroon', 'United Kingdom', 'Nigeria', 'Spain', 'United States', 'Italy', 'Morocco']
Morocco;univh2c.ma;100.0;[15964];[15964, 52320, 6461, 6762, 36884, 30983];['Cameroon'];['Cameroon', 'United Kingdom', 'Nigeria', 'Spain', 'United States', 'Italy', 'Morocco']
Morocco;www.ump.ma;100.0;[15964];[15964, 52320, 6461, 6762, 36884, 6713];['Cameroon'];['Cameroon', 'Canada', 'Italy', 'Spain', 'Canada', 'Italy', 'Morocco']
Tanzania;sua.ac.tz;5.71;[15964];[15964, 52320, 6939, 37662, 36930];['Cameroon'];['Cameroon', 'Canada', 'United Kingdom', 'Canada', 'United States', 'United Kingdom', 'Tanzania']
Tanzania;udsm.ac.tz;8.57;[15964, 52320, 36944, 37182, 22354];[328913, 60171, 3491, 36944, 37182, 22354];['Cameroon', 'Brazil', 'Malawi', 'Tanzania'];['Cameroon', 'Canada', 'United Kingdom', 'Canada', 'United States', 'Mexico', 'Malawi', 'Tanzania']
Tanzania;aru.ac.tz;100.0;[15964, 174, 33765, 327795];[15964, 52320, 174, 33765, 327795];['Cameroon', 'United States', 'Tanzania'];['Cameroon', 'Canada', 'United Kingdom', 'Canada', 'United States', 'Tanzania']
Malawi;unima.ac.mw;100.0;[15964, 52320];[15964, 6453, 174, 37187, 36944, 37215];['Cameroon', 'Colombia'];['Cameroon', 'United Kingdom', 'Nigeria', 'Spain', 'United States', 'South Africa', 'Malawi']
Malawi;mzuni.ac.mw;100.0;[15964];[15964, 6453, 174, 36944, 37215];['Cameroon'];['Cameroon', 'Canada', 'United Kingdom', 'Canada', 'United States', 'Mexico', 'Malawi']
