destCountry;website;PacketLoss;minASPath;maxASPath;minCountryPath;maxCountryPath
Malawi;unima.ac.mw;100.0;[36913];[37187, 37215];['Malawi'];['Malawi']
Malawi;mzuni.ac.mw;100.0;[37187];[36913, 37294, 30844, 36944, 37215];['Malawi'];['Malawi', 'Zambia', 'Zimbabwe', 'United Kingdom', 'South Africa', 'Malawi']
Namibia;www.nust.na;0.0;[37187, 33763, 37513];[36913, 30844, 33763, 37513];['Malawi', 'South Africa', 'Namibia'];['Malawi', 'Zambia', 'Kenya', 'United Kingdom', 'South Africa', 'Namibia']
Namibia;unam.edu.na;100.0;[37187, 36996];[36913, 30844, 36996];['Malawi', 'South Africa', 'Namibia'];['Malawi', 'Zambia', 'Zimbabwe', 'United Kingdom', 'Zimbabwe', 'South Africa', 'Namibia']
Namibia;ium.edu.na;0.0;[36913, 30844, 36996];[36913, 30844, 36996];['Malawi', 'South Africa', 'Belgium', 'Namibia'];['Malawi', 'Zambia', 'Zimbabwe', 'Kenya', 'Mauritius', 'United Kingdom', 'South Africa', 'Namibia']
Senegal;www.ucad.sn;1.11;[37187, 37613, 37649];[36913, 30844, 3491, 37613, 6758, 37649];['Malawi', 'South Africa', 'Ghana', 'Senegal'];['Malawi', 'Zambia', 'Zimbabwe', 'United Kingdom', 'Ghana', 'Monaco', 'Senegal']
Senegal;ugb.sn;0.0;[36913, 30844, 6762, 8346];[36913, 30844, 6762, 8346];['Malawi', 'United States', 'France', 'Senegal'];['Malawi', 'Zambia', 'Zimbabwe', 'United Kingdom', 'Italy', 'Senegal']
Senegal;uadb.edu.sn;77.78;[37187, 174, 8346];[36913, 30844, 6762, 8346];['Malawi', 'United States', 'Spain', 'Senegal'];['Malawi', 'Zambia', 'United Kingdom', 'Italy', 'Senegal']
South Africa;www.sun.ac.za;100.0;[37187, 2018];[36913, 37294, 30844, 2018];['Malawi', 'South Africa'];['Malawi', 'Zambia', 'Zimbabwe', 'Mauritius', 'South Africa']
South Africa;wits.ac.za;100.0;[37187, 2018];[36913, 37294, 30844, 2018];['Malawi', 'South Africa'];['Malawi', 'Zambia', 'Zimbabwe', 'Kenya', 'United Kingdom', 'South Africa']
South Africa;uct.ac.za;100.0;[36913, 30844, 2018];[36913, 30844, 2018];['Malawi', 'United States', 'South Africa'];['Malawi', 'Zambia', 'Zimbabwe', 'Kenya', 'Mauritius', 'South Africa']
Morocco;uca.ma;100.0;[36913, 30844, 6762, 36884];[36913, 30844, 6762, 36884];['Malawi', 'Zambia', 'United Kingdom', 'Italy', 'Morocco'];['Malawi', 'United States', 'France', 'United States', 'Italy', 'Morocco']
Morocco;univh2c.ma;100.0;[36913, 30844, 6762, 36884, 30983];[36913, 30844, 6762, 36884, 30983];['Malawi', 'Zambia', 'United Kingdom', 'Italy', 'Morocco'];['Malawi', 'Zambia', 'Zimbabwe', 'United Kingdom', 'Italy', 'Morocco']
Morocco;www.ump.ma;100.0;[36913, 30844, 6762, 36884, 6713];[36913, 30844, 6762, 36884, 6713];['Malawi', 'United States', 'Spain', 'Morocco'];['Malawi', 'Zambia', 'United Kingdom', 'Italy', 'Morocco']
Tanzania;sua.ac.tz;0.0;[37187, 37662, 36930];[36913, 37294, 30844, 37662, 36930];['Malawi', 'South Africa', 'Kenya', 'Tanzania'];['Malawi', 'Zambia', 'Kenya', 'United Kingdom', 'South Africa', 'Kenya', 'Tanzania']
Tanzania;udsm.ac.tz;0.0;[37187, 36944, 37182, 22354];[36913, 30844, 36944, 37182, 22354];['Malawi', 'South Africa', 'Malawi', 'Tanzania'];['Malawi', 'Zambia', 'Kenya', 'United Kingdom', 'South Africa', 'Malawi', 'Tanzania']
Tanzania;aru.ac.tz;100.0;[37187, 174, 33765, 327795];[37187, 174, 33765, 327795];['Malawi', 'United States', 'Tanzania'];['Malawi', 'Zambia', 'Zimbabwe', 'Mauritius', 'Tanzania']
Cameroon;www.univ-ndere.cm;5.56;[37187, 174, 12956, 15964];[37187, 174, 12956, 15964];['Malawi', 'United States', 'France', 'United States', 'Spain', 'Cameroon'];['Malawi', 'Zambia', 'Zimbabwe', 'United Kingdom', 'Italy', 'Canada', 'United Kingdom', 'Canada', 'Cameroon']
Cameroon;uy1.uninet.cm;0.0;[37187, 37662, 15964];[36913, 30844, 3491, 37662, 15964];['Malawi', 'South Africa', 'Kenya', 'South Africa', 'Cameroon'];['Malawi', 'Zambia', 'Zimbabwe', 'United Kingdom', 'Zimbabwe', 'United Kingdom', 'Kenya', 'Cameroon']
Cameroon;www.univ-maroua.cm;100.0;[36913, 30844, 16637, 30992];[36913, 30844, 16637, 30992];['Malawi', 'United States', 'South Africa', 'Cameroon'];['Malawi', 'Zambia', 'Zimbabwe', 'United Kingdom', 'Netherlands', 'South Africa', 'Cameroon']
