destCountry;website;PacketLoss;minASPath;maxASPath;minCountryPath;maxCountryPath
Morocco;uca.ma;100.0;[30983];[36925, 36884];['Morocco'];['Morocco']
Morocco;univh2c.ma;100.0;[30983];[36925, 36884, 30983];['Morocco'];['Morocco']
Morocco;www.ump.ma;0.0;[30983, 6713, 30983];[36925, 36884, 6713, 30983];['Morocco'];['Morocco']
Namibia;www.nust.na;0.0;[36884, 3257, 2914, 33763, 37513];[30983, 36884, 6453, 2914, 33763, 37513];['Morocco', 'United Kingdom', 'United States', 'United Kingdom', 'Namibia'];['Morocco', 'Canada', 'Spain', 'United States', 'United Kingdom', 'Namibia']
Namibia;unam.edu.na;100.0;[36925, 174, 36996];[30983, 36884, 174, 36996];['Morocco', 'United States', 'France', 'Canada', 'Namibia'];['Morocco', 'United States', 'France', 'Canada', 'Namibia']
Namibia;ium.edu.na;0.0;[36884, 174, 36996];[30983, 36884, 174, 36996];['Morocco', 'United States', 'France', 'Canada', 'Namibia'];['Morocco', 'Spain', 'United States', 'France', 'Canada', 'Namibia']
Senegal;www.ucad.sn;0.0;[36884, 6762, 37649];[30983, 36884, 174, 37613, 6758, 37649];['Morocco', 'Italy', 'Senegal'];['Morocco', 'Spain', 'United States', 'Ghana', 'Monaco', 'Senegal']
Senegal;ugb.sn;0.0;[36925, 5511, 8346];[30983, 36884, 12956, 8346];['Morocco', 'France', 'Senegal'];['Morocco', 'France', 'Senegal']
Senegal;uadb.edu.sn;77.78;[36925, 174, 8346];[30983, 36884, 174, 8346];['Morocco', 'United States', 'Spain', 'Senegal'];['Morocco', 'United States', 'Spain', 'Senegal']
South Africa;www.sun.ac.za;100.0;[36884, 174, 2018];[30983, 36884, 174, 2018];['Morocco', 'United States', 'United Kingdom', 'South Africa'];['Morocco', 'Spain', 'United States', 'United Kingdom', 'South Africa']
South Africa;wits.ac.za;100.0;[36925, 174, 2018];[30983, 36884, 174, 2018];['Morocco', 'United States', 'United Kingdom', 'South Africa'];['Morocco', 'Spain', 'United States', 'United Kingdom', 'South Africa']
South Africa;uct.ac.za;100.0;[36884, 174, 2018];[30983, 36884, 174, 2018];['Morocco', 'United States', 'United Kingdom', 'South Africa'];['Morocco', 'United States', 'United Kingdom', 'South Africa']
Tanzania;sua.ac.tz;0.0;[36884, 174, 36930];[30983, 36884, 174, 36930];['Morocco', 'United States', 'United Kingdom', 'Tanzania'];['Morocco', 'Spain', 'United States', 'United Kingdom', 'Tanzania']
Tanzania;udsm.ac.tz;0.0;[36884, 174, 36944, 37182, 22354];[30983, 199354, 20965, 36944, 37182, 22354];['Morocco', 'Germany', 'Netherlands', 'Malawi', 'Tanzania'];['Morocco', 'Germany', 'Netherlands', 'Malawi', 'Tanzania']
Tanzania;aru.ac.tz;100.0;[36925, 174, 327795];[30983, 36884, 174, 33765, 327795];['Morocco', 'United States', 'Tanzania'];['Morocco', 'United States', 'Tanzania']
Cameroon;www.univ-ndere.cm;0.0;[36884, 6453, 15964];[36925, 174, 12956, 15964];['Morocco', 'Canada', 'Cameroon'];['Morocco', 'Canada', 'Spain', 'Italy', 'Canada', 'Cameroon']
Cameroon;uy1.uninet.cm;0.0;[36884, 12956, 15964];[30983, 36884, 12956, 15964];['Morocco', 'Spain', 'Cameroon'];['Morocco', 'Spain', 'United States', 'Spain', 'Cameroon']
Cameroon;www.univ-maroua.cm;100.0;[36925, 174, 16637, 30992];[30983, 36884, 174, 16637, 30992];['Morocco', 'United States', 'South Africa', 'Cameroon'];['Morocco', 'United States', 'South Africa', 'Cameroon']
Malawi;unima.ac.mw;100.0;[36925, 174, 37187, 36944, 37215];[30983, 199354, 21320, 20965, 174, 37187, 36944, 37215];['Morocco', 'United States', 'Malawi'];['Morocco', 'Germany', 'Netherlands', 'Italy', 'United States', 'France', 'United States', 'Malawi']
Malawi;mzuni.ac.mw;100.0;[36884, 174, 36944];[30983, 199354, 20965, 36944, 37215];['Morocco', 'United States', 'Mexico', 'Malawi'];['Morocco', 'Spain', 'United States', 'Mexico', 'Malawi']
