destCountry;website;PacketLoss;minASPath;maxASPath;minCountryPath;maxCountryPath
Namibia;www.nust.na;5.56;[33763];[33763, 37513];['Namibia'];['Namibia']
Namibia;unam.edu.na;100.0;[33763];[37513, 36996];['Namibia'];['Namibia']
Namibia;ium.edu.na;5.56;[33763];[33763, 36996];['Namibia'];['Namibia']
Senegal;www.ucad.sn;5.56;[33763];[37513, 33763, 37613, 6758, 37649];['Namibia'];['Namibia', 'South Africa', 'Ghana', 'Monaco', 'Senegal']
Senegal;ugb.sn;5.56;[33763];[37513, 33763, 2914, 6762, 8346];['Namibia'];['Namibia', 'United Kingdom', 'United States', 'Italy', 'Senegal']
Senegal;uadb.edu.sn;77.78;[33763];[37513, 16637, 5511, 8346];['Namibia'];['Namibia', 'United Kingdom', 'Canada', 'Italy', 'Canada', 'United Kingdom', 'Canada', 'Senegal']
South Africa;www.sun.ac.za;100.0;[33763];[37513, 33763, 2018];['Namibia'];['Namibia', 'South Africa']
South Africa;wits.ac.za;100.0;[33763];[37513, 16637, 2018];['Namibia'];['Namibia', 'South Africa', 'Namibia', 'South Africa']
South Africa;uct.ac.za;100.0;[33763];[37513, 33763, 2018];['Namibia'];['Namibia', 'South Africa']
Morocco;uca.ma;100.0;[33763];[33763, 2914, 6762, 36884];['Namibia'];['Namibia', 'South Africa', 'Namibia', 'South Africa', 'Italy', 'Morocco']
Morocco;univh2c.ma;100.0;[33763];[33763, 2914, 6762, 36884, 30983];['Namibia'];['Namibia', 'South Africa', 'Namibia', 'South Africa', 'Italy', 'Morocco']
Morocco;www.ump.ma;100.0;[33763];[37513, 33763, 2914, 6762, 36884, 6713];['Namibia'];['Namibia', 'United Kingdom', 'United States', 'Italy', 'Morocco']
Tanzania;sua.ac.tz;5.56;[33763];[37513, 16637, 174, 36930];['Namibia'];['Namibia', 'South Africa', 'Namibia', 'South Africa', 'United States', 'France', 'United States', 'United Kingdom', 'Tanzania']
Tanzania;udsm.ac.tz;5.56;[33763];[37513, 33763, 36944, 37182, 22354];['Namibia'];['Namibia', 'South Africa', 'Malawi', 'Tanzania']
Tanzania;aru.ac.tz;100.0;[33763];[37513, 33763, 2914, 174, 33765, 327795];['Namibia'];['Namibia', 'United Kingdom', 'United States', 'France', 'United States', 'Tanzania']
Cameroon;www.univ-ndere.cm;7.78;[33763];[37513, 33763, 2914, 6453, 15964];['Namibia'];['Namibia', 'United Kingdom', 'Canada', 'United Kingdom', 'Canada', 'Cameroon']
Cameroon;uy1.uninet.cm;5.56;[33763];[37513, 33763, 37662, 15964];['Namibia'];['Namibia', 'South Africa', 'Kenya', 'South Africa', 'Cameroon']
Cameroon;www.univ-maroua.cm;100.0;[33763];[37513, 33763, 1930, 6939, 16637, 30992];['Namibia'];['Namibia', 'Portugal', 'United States', 'South Africa', 'Cameroon']
Malawi;unima.ac.mw;100.0;[33763];[37513, 33763, 2914, 174, 37187, 36944, 37215];['Namibia'];['Namibia', 'United Kingdom', 'United States', 'France', 'United States', 'Malawi']
Malawi;mzuni.ac.mw;100.0;[33763];[37513, 16637, 36944, 37215];['Namibia'];['Namibia', 'South Africa', 'Namibia', 'South Africa', 'Netherlands', 'Malawi']
