destCountry;website;PacketLoss;minASPath;maxASPath;minCountryPath;maxCountryPath
Senegal;www.ucad.sn;0.0;[8346, 174, 37613, 37649];[8346, 174, 37613, 6758, 37649];['Senegal', 'United States', 'Ghana', 'Senegal'];['Senegal', 'United States', 'Ghana', 'Monaco', 'Senegal']
Senegal;ugb.sn;0.0;[8346];[8346];['Senegal'];['Senegal']
Senegal;uadb.edu.sn;75.56;[8346];[8346];['Senegal'];['Senegal']
Namibia;www.nust.na;0.0;[8346, 6453, 2914, 33763, 37513];[8346, 6453, 2914, 33763, 37513];['Senegal', 'Canada', 'United States', 'United Kingdom', 'Namibia'];['Senegal', 'Canada', 'United States', 'United Kingdom', 'Namibia']
Namibia;unam.edu.na;100.0;[8346, 174, 36996];[8346, 174, 36996];['Senegal', 'United States', 'France', 'Namibia'];['Senegal', 'United States', 'France', 'Canada', 'Namibia']
Namibia;ium.edu.na;9.33;[8346, 174, 36996];[8346, 174, 36996];['Senegal', 'United States', 'Canada', 'Namibia'];['Senegal', 'United States', 'France', 'Canada', 'Namibia']
South Africa;www.sun.ac.za;100.0;[8346, 174, 2018];[8346, 174, 2018];['Senegal', 'United States', 'United Kingdom', 'South Africa'];['Senegal', 'United States', 'United Kingdom', 'South Africa']
South Africa;wits.ac.za;100.0;[8346, 174, 2018];[8346, 174, 2018];['Senegal', 'United States', 'South Africa'];['Senegal', 'United States', 'United Kingdom', 'South Africa']
South Africa;uct.ac.za;100.0;[8346, 174, 2018];[8346, 174, 2018];['Senegal', 'United States', 'United Kingdom', 'South Africa'];['Senegal', 'United States', 'United Kingdom', 'South Africa']
Morocco;uca.ma;100.0;[8346, 174, 6762, 36884];[8346, 174, 6762, 36884];['Senegal', 'United States', 'Italy', 'Morocco'];['Senegal', 'United States', 'Italy', 'Morocco']
Morocco;univh2c.ma;100.0;[8346, 6762, 36884, 30983];[8346, 174, 6762, 36884, 30983];['Senegal', 'Italy', 'Morocco'];['Senegal', 'United States', 'Italy', 'Morocco']
Morocco;www.ump.ma;100.0;[8346, 174, 36884, 6713];[8346, 174, 36925, 36884, 6713];['Senegal', 'United States', 'Spain', 'Morocco'];['Senegal', 'United States', 'Spain', 'Morocco']
Tanzania;sua.ac.tz;0.0;[8346, 174, 36930];[8346, 174, 36930];['Senegal', 'United States', 'United Kingdom', 'Tanzania'];['Senegal', 'United States', 'United Kingdom', 'Tanzania']
Tanzania;udsm.ac.tz;1.67;[8346, 174, 36944, 37182, 22354];[8346, 174, 36944, 37182, 22354];['Senegal', 'United States', 'Mexico', 'Malawi', 'Tanzania'];['Senegal', 'United States', 'Mexico', 'Malawi', 'Tanzania']
Tanzania;aru.ac.tz;100.0;[8346, 174, 33765, 327795];[8346, 174, 33765, 327795];['Senegal', 'United States', 'Tanzania'];['Senegal', 'United States', 'Tanzania']
Cameroon;www.univ-ndere.cm;6.67;[8346, 6453, 15964];[8346, 6453, 15964];['Senegal', 'Canada', 'Cameroon'];['Senegal', 'Canada', 'Cameroon']
Cameroon;uy1.uninet.cm;0.0;[8346, 6453, 12956, 15964];[8346, 6453, 12956, 15964];['Senegal', 'Canada', 'Spain', 'Cameroon'];['Senegal', 'Canada', 'United Kingdom', 'Canada', 'Spain', 'Cameroon']
Cameroon;www.univ-maroua.cm;100.0;[8346, 174, 16637, 30992];[8346, 174, 16637, 30992];['Senegal', 'United States', 'South Africa', 'Cameroon'];['Senegal', 'United States', 'South Africa', 'Cameroon']
Malawi;unima.ac.mw;100.0;[8346, 174, 37187, 37215];[8346, 174, 37187, 36944, 37215];['Senegal', 'United States', 'Malawi'];['Senegal', 'United States', 'Malawi']
Malawi;mzuni.ac.mw;100.0;[8346, 174, 36944];[8346, 174, 36944, 37215];['Senegal', 'United States', 'Mexico', 'Malawi'];['Senegal', 'United States', 'Mexico', 'Malawi']
