destCountry;website;PacketLoss;minASPath;maxASPath;minCountryPath;maxCountryPath
South Africa;www.sun.ac.za;66.67;[328210, 2018];[328210, 2018];['South Africa'];['South Africa']
South Africa;wits.ac.za;100.0;[61317, 2018];[61317, 2018];['South Africa'];['South Africa']
South Africa;uct.ac.za;100.0;[3741, 2018];[328210, 37271, 2018, 37271];['South Africa'];['South Africa']
Namibia;www.nust.na;0.0;[61317, 33763, 37513];[61317, 33763, 37513];['South Africa', 'Namibia'];['South Africa', 'Namibia']
Namibia;unam.edu.na;100.0;[3741, 36996];[3741, 36996];['South Africa', 'Namibia'];['South Africa', 'Namibia']
Namibia;ium.edu.na;0.0;[3741, 36996];[61317, 6774, 36996];['South Africa', 'Namibia'];['South Africa', 'Belgium', 'Namibia']
Senegal;www.ucad.sn;0.0;[328210, 37613, 37649];[3741, 6939, 37613, 6758, 37649];['South Africa', 'Ghana', 'Senegal'];['South Africa', 'United States', 'Ghana', 'Monaco', 'Senegal']
Senegal;ugb.sn;0.0;[3741, 3356, 12956, 8346];[328210, 37271, 2914, 12956, 37271, 12956, 8346];['South Africa', 'United Kingdom', 'Spain', 'Senegal'];['South Africa', 'Botswana', 'Zambia', 'Mauritius', 'United Kingdom', 'Italy', 'Senegal']
Senegal;uadb.edu.sn;77.78;[3741, 174, 8346];[328210, 37271, 6453, 37271, 6453, 37271, 8346];['South Africa', 'Spain', 'United States', 'Spain', 'Senegal'];['South Africa', 'Botswana', 'Zambia', 'Mauritius', 'United Kingdom', 'Italy', 'Senegal']
Morocco;uca.ma;100.0;[3741, 3356, 6762, 36884];[328210, 37271, 6453, 37271, 6762, 36884];['South Africa', 'Canada', 'Italy', 'Morocco'];['South Africa', 'Spain', 'United States', 'France', 'United States', 'Italy', 'Morocco']
Morocco;univh2c.ma;100.0;[3741, 174, 6762, 36884, 30983];[328210, 37271, 6453, 37271, 6762, 37271, 36884, 30983];['South Africa', 'Canada', 'Italy', 'Morocco'];['South Africa', 'Spain', 'United States', 'France', 'United States', 'Italy', 'Morocco']
Morocco;www.ump.ma;100.0;[3741, 3356, 6762, 36884, 6713];[328210, 37271, 6453, 6762, 37271, 36884, 6713];['South Africa', 'United States', 'Italy', 'Morocco'];['South Africa', 'Botswana', 'Zambia', 'Mauritius', 'United Kingdom', 'Italy', 'Morocco']
Tanzania;sua.ac.tz;0.0;[61317, 37662, 36930];[3741, 3491, 6939, 37662, 36930];['South Africa', 'Kenya', 'Tanzania'];['South Africa', 'United Kingdom', 'United States', 'Kenya', 'Tanzania']
Tanzania;udsm.ac.tz;0.0;[61317, 36944, 37182, 22354];[328210, 37271, 174, 36944, 37271, 36944, 37182, 22354];['South Africa', 'Malawi', 'Tanzania'];['South Africa', 'United Kingdom', 'Mexico', 'Malawi', 'South Africa', 'Malawi', 'Tanzania']
Tanzania;aru.ac.tz;100.0;[61317, 30844, 327795];[328210, 37271, 174, 37271, 33765, 327795, 37271, 327795];['South Africa', 'Spain', 'United States', 'Tanzania'];['South Africa', 'Botswana', 'Zambia', 'Mauritius', 'Kenya', 'Mauritius', 'Tanzania']
Cameroon;www.univ-ndere.cm;0.74;[61317, 30844, 6453, 15964];[328210, 37271, 6453, 15964, 37271, 15964];['South Africa', 'United Kingdom', 'Spain', 'Cameroon'];['South Africa', 'Botswana', 'Zambia', 'Mauritius', 'United Kingdom', 'Italy', 'Canada', 'United Kingdom', 'Canada', 'Cameroon']
Cameroon;uy1.uninet.cm;0.0;[3741, 37662, 15964];[3741, 37662, 15964];['South Africa', 'Kenya', 'South Africa', 'Cameroon'];['South Africa', 'Kenya', 'South Africa', 'Cameroon']
Cameroon;www.univ-maroua.cm;100.0;[61317, 6939, 16637, 30992];[328210, 37271, 36890, 16637, 37271, 30992, 37271, 30992, 37271];['South Africa', 'United States', 'South Africa', 'Cameroon'];['South Africa', 'Rwanda', 'South Africa', 'Cameroon', 'South Africa', 'Cameroon', 'South Africa']
Malawi;unima.ac.mw;100.0;[61317, 30844, 37187, 36944, 37215];[328210, 37271, 174, 37187, 37271, 37187, 36944, 37215, 37271];['South Africa', 'Spain', 'United States', 'Malawi'];['South Africa', 'United Kingdom', 'United States', 'Malawi', 'South Africa', 'Malawi', 'South Africa']
Malawi;mzuni.ac.mw;100.0;[61317, 36944];[328210, 37271, 174, 36944, 37271, 37215, 37271];['South Africa', 'Malawi'];['South Africa', 'United Kingdom', 'Mexico', 'Malawi', 'South Africa', 'Malawi', 'South Africa']
